Primary,CMS Link,Date,Date QA Completed,ID / Task / Case Number,Name,QA Completed by:,QA Status,XML/HTML,Type,Status,QA Comment,QA Fix Comment,QA Link,Follow Up Count
All info,https://faridhassan.example.com/inventory/vehicle-18.htm,2026-07-15,2026-07-25,DE-100018,farid.hassan@example.com,Owen Clarke,Passed,TRUE,Posting Case,Completed,,,https://chat.example.com/files/18,0
All info,https://alicejohnson.example.com/inventory/vehicle-26.htm,2026-07-23,2026-07-23,DE-100026,alice.johnson@example.com,Owen Clarke,In progress,TRUE,SEO Landing Page,Completed,,,https://chat.example.com/files/26,3
All info,https://briankim.example.com/inventory/vehicle-8.htm,2026-07-05,2026-07-25,DE-100008,brian.kim@example.com,Priya Shah,Failed,TRUE,SEO Landing Page,Completed,D/M | Failed | Config | Required tracking script missing,,https://chat.example.com/files/8,4
All info,https://derekosei.example.com/inventory/vehicle-48.htm,2026-07-15,2026-07-25,DE-100048,derek.osei@example.com,Owen Clarke,Passed,TRUE,Blog,Completed,,,https://chat.example.com/files/48,4
All info,https://alicejohnson.example.com/inventory/vehicle-25.htm,2026-07-22,2026-07-22,DE-100025,alice.johnson@example.com,Owen Clarke,Opportunity,TRUE,SEO Landing Page,Completed,D/M | Opportunity | Styling | Element overlaps the header on mobile,Fixed,https://chat.example.com/files/25,4
All info,https://faridhassan.example.com/inventory/vehicle-47.htm,2026-07-14,2026-07-24,DE-100047,farid.hassan@example.com,Priya Shah,Opportunity,TRUE,OEM Landing Page,Completed,M | Opportunity | Layout | Content block could be reordered,,https://chat.example.com/files/47,1
All info,https://hirotanaka.example.com/inventory/vehicle-38.htm,2026-07-05,2026-07-25,DE-100038,hiro.tanaka@example.com,Priya Shah,Passed,TRUE,OEM Landing Page,Completed,,,https://chat.example.com/files/38,1
All info,https://alicejohnson.example.com/inventory/vehicle-6.htm,2026-07-03,2026-07-23,DE-100006,alice.johnson@example.com,Priya Shah,Critical,TRUE,Posting Case,Completed,D/M | Critical | Content | Placeholder text left in production,"NA: Intentional, no fix needed",https://chat.example.com/files/6,3
All info,https://graceoconnor.example.com/inventory/vehicle-19.htm,2026-07-16,2026-07-26,DE-100019,grace.oconnor@example.com,Priya Shah,Opportunity,TRUE,Blog,Completed,D/M | Opportunity | Styling | Element overlaps the header on mobile,,https://chat.example.com/files/19,1
All info,https://elenapetrova.example.com/inventory/vehicle-52.htm,2026-07-19,2026-07-19,DE-100052,elena.petrova@example.com,Owen Clarke,In progress,TRUE,SEO Landing Page,Completed,,,https://chat.example.com/files/52,3
